Technische Universität Dresden ,Allemagne ,info ,2,,
Technische Universität Dresden ,Allemagne ,info ,X,Double Diplome,
Hochschule Wismar  ,Allemagne ,info ,6,,
Technische Universität Wien ,Autriche ,info ,3,,
UNIVERSITE LIBRE DE BRUXELLES (ULB) ,Belgique ,info ,1,,
Technical University of Sofia ,Bulgarie ,info ,2,,
Aalborg University ,Danemark ,info ,1,,
Roskilde University ,Danemark ,info ,1,,
Universitat Politècnica de Catalunya (Barcelona) ,Espagne ,info ,3,,
Universidad de Granada ,Espagne ,info ,6,,
Universidad Politecnica de Madrid (UPM) ,Espagne ,info ,4,,
Universidad Politécnica de Valencia ,Espagne ,info ,2,,
Universidad de Zaragoza ,Espagne ,info ,1,,
Budapest University of Technology and Economics (BME) ,Hongrie ,info ,3,,
Cork Institute of Technology ,Irlande ,info ,2,,
Letterkenny Institute of Technology ,Irlande ,info ,2,,
Politecnico di Milano ,Italie ,info ,3,,
University of Luxembourg ,Luxembourg ,info ,3,,
VU University of Amsterdam ,Pays-Bas ,info ,2,,
Université Technique de Lisbonne ,Portugal ,info ,2,,
Université Polytechnique de Bucarest ,Roumanie ,info ,5,,
Universitatea Tehnica de Cluj-Napoca ,Roumanie ,info ,3,,
Queen's University of Belfast ,Royaume-Uni ,info ,0,,
Newcastle University ,Royaume-Uni ,info ,1,,
Blekinge Institute of Technology ,Suède ,info ,2,,
Linköping University ,Suède ,info ,4,,
Lulea University of Technology ,Suède ,info ,2,,
Istanbul Technical University ,Turquie ,info ,2,,
Université El Djilali Liabès de Sidi Bel Abbès ,Algérie ,ALL,x  ,,
Instituto Tecnológico de Buenos Aires ,Argentine ,ALL,x  ,,
Instituto Universitario Aeronáutico ,Argentine ,ALL,x  ,,
Universidad de Buenos Aires ,Argentine ,ALL,x  ,,
Universidad Nacional de Córdoba ,Argentine ,ALL,x  ,,
Universidad Nacional de La Plata ,Argentine ,ALL,x  ,,
Universidad Nacional de Río Cuarto ,Argentine ,ALL,x  ,,
Universidad Nacional de Rosario ,Argentine ,ALL,x  ,,
Universidad Nacional del Litoral ,Argentine ,ALL,x  ,,
Universidad Nacional del Sur ,Argentine ,ALL,x  ,,
Universidad Tecnológica Nacional ,Argentine ,ALL,x  ,,
Escola Politecnica da Universidade de Sao Paulo (EP.USP) ,Brésil ,ALL,x  ,,
PontifIcia Universidade Católica do Paraná (PUCPR) ,Brésil ,ALL,x  ,,
Pontificia Universidade Católica do Rio de Janeiro (PUC-Rio) ,Brésil ,ALL,x  ,,
Universidade Estadual de Campinas (UNICAMP) ,Brésil ,ALL,x  ,,
Universidade Estadual Paulista 'Júlio de Mesquita Filho' (UNESP) ,Brésil ,ALL,x  ,,
Universidade Federal da Paraiba (UFPB) ,Brésil ,ALL,x  ,,
Universidade Federal de Campina Grande (UFCG) ,Brésil ,ALL,x  ,,
Universidade Federal de Goiás (UFG) ,Brésil ,ALL,x  ,,
Universidade Federal de Santa Catarina (UFSC) ,Brésil ,ALL,x  ,,
Universidade Federal de Uberlândia (UFU) ,Brésil ,ALL,x  ,,
Universidade Federal do Ceará (UFC) ,Brésil ,ALL,x  ,,
Universidade Federal do Pará (UFPa) ,Brésil ,ALL,x  ,,
Universidade Federal do Paraná (UFPR) ,Brésil ,ALL,x  ,,
Universidade Federal do Rio de Janeiro (UFRJ) ,Brésil ,ALL,x  ,,
Universidade Federal do Rio Grande do Norte (UFRN) ,Brésil ,ALL,x  ,,
Universidade Tecnológica Federal do Paraná (UTFPR) ,Brésil ,ALL,x  ,,
Institut de Technologie du Cambodge ,Cambodge ,ALL,x  ,,
Bishop's University ,Canada ,ALL,x  ,,
Concordia University ,Canada ,ALL,x  ,,
École de Technologie Supérieure (ETS) ,Canada ,INFO ,3,,
Ecole Nationale d'Administration Publique ,Canada ,ALL,x  ,,
École Polytechnique de Montréal (EPM) ,Canada ,ALL,4,,
CREPUQ (9 universités québecoises) ,Canada ,ALL,x  ,,
Institut national de la recherche scientifique ,Canada ,ALL,x  ,,
Université de Montréal ,Canada ,ALL,x  ,,
Université du Québec à Chicoutimi ,Canada ,ALL,x  ,,
Université du Québec à Montréal (UQAM) ,Canada ,ALL,x  ,,
Université du Québec à Rimouski ,Canada ,ALL,x  ,,
Université du Québec à Trois-Rivières ,Canada ,ALL,x  ,,
Université du Québec en Abitibi-Témiscamingue ,Canada ,ALL,x  ,,
Université du Québec en Outaouais ,Canada ,ALL,x  ,,
Université Laval ,Canada ,ALL,x  ,,
University of Sherbrooke ,Canada ,ALL,x  ,,
Université of Ottawa ,Canada ,ALL,2,,
Korea Advanced Institute of Science and Technology ,Corée ,ALL,1,,
Universidad de Concepción ,Chili ,ALL,x  ,,
Universidad Técnica Federico Santa María ,Chili ,ALL,1,,
Shandong University ,Chine ,ALL,1,,
Escuela Colombiana de Ingeniería Julio Garavito ,Colombie ,ALL,x  ,,
Pontificia Universidad Javeriana ,Colombie ,ALL,x  ,,
Universidad de Los Andes ,Colombie ,ALL,x  ,,
Universidad Industrial de Santander ,Colombie ,ALL,x  ,,
Universidad Nacional de Colombia ,Colombie ,ALL,x  ,,
Rochester Institute of Technology ,Etats-Unis ,ALL,2,S9,S8
B K Birla Institute of Engineering and Technology ,Inde ,ALL,2,,
Mewar University  ,Inde ,ALL,1,,
Institut Teknologi Sepuluh Nopember (ITS) ,Indonésie ,ALL,1,,
Keio University ,Japon ,ALL,1,,
University of Aizu ,Japon ,ALL,0,,
Université Libanaise ,Liban ,ALL,x  ,,
"Ecole Nationale des Sciences Appliquées, Al Hoceima ",Maroc ,ALL,x  ,,
"Ecole Nationale des Sciences Appliquées, Oujda ",Maroc ,ALL,x  ,,
Université Mohammed V Agdal ,Maroc ,ALL,x  ,,
Benemérita Universidad Autónoma de Puebla ,Mexique ,ALL,x  ,,
Instituto Politécnico Nacional ,Mexique ,ALL,x  ,,
Universidad Autónoma Ciudad Juárez ,Mexique ,ALL,x  ,,
Universidad Autónoma de Baja California ,Mexique ,ALL,x  ,,
Universidad Autónoma de Nuevo León ,Mexique ,ALL,x  ,,
Universidad Autónoma de San Luis Potosí ,Mexique ,ALL,x  ,,
Universidad Autónoma de Yucatán ,Mexique ,ALL,x  ,,
Universidad de Colima ,Mexique ,ALL,x  ,,
Universidad de Guadalajara ,Mexique ,ALL,x  ,,
Universidad de Guanajuato ,Mexique ,ALL,x  ,,
Universidad de Sonora ,Mexique ,ALL,x  ,,
Universidad Juárez Autónoma de Tabasco ,Mexique ,ALL,x  ,,
Universidad Veracruzana ,Mexique ,ALL,x  ,,
Université Gaston Berger de Saint-Louis ,Mexique ,ALL,x  ,,
Universidad Simón Bolívar ,Venezuela ,ALL,x  ,,
ESTC Vietnam ,Vietnam ,ALL,x  ,,
UTT Vietnam ,Vietnam ,ALL,x,,
